url,title
https://gihyo.jp/dp/ebook/2022/978-4-297-12642-1,IT×仕事術 Python最速データ収集術〜スクレイピングでWeb情報を自動で集める
https://gihyo.jp/dp/ebook/2022/978-4-297-12515-8,Rでらくらくデータ分析入門～効率的なデータ加工のための基礎知識～
https://gihyo.jp/dp/ebook/2022/978-4-297-12548-6,世界一わかりやすい教科書 世界一わかりやすい HTML＆CSSコーディングとサイト制作の教科書［改訂2版］
https://gihyo.jp/dp/ebook/2022/978-4-297-12544-8,動画×解説でかんたん理解！ Unityゲームプログラミング超入門
https://gihyo.jp/dp/ebook/2022/978-4-297-11980-5,Software Design 2022年2月号
https://gihyo.jp/dp/ebook/2022/978-4-297-12662-9,ゼロからはじめる ゼロからはじめるau AQUOS sense6 SHG05 スマートガイド
https://gihyo.jp/dp/ebook/2022/978-4-297-12556-1,図解即戦力 図解即戦力建設機械業界のしくみとビジネスがこれ1冊でしっかりわかる教科書
https://gihyo.jp/dp/ebook/2022/978-4-297-12536-3,一目でわかるイメージ式！ 高校数学・公式図鑑
https://gihyo.jp/dp/ebook/2022/978-4-297-12538-7,AWSエンジニア入門講座――学習ロードマップで体系的に学ぶ
https://gihyo.jp/dp/ebook/2022/978-4-297-12414-4,情報処理技術者試験 令和04-05年 ITパスポート 試験によくでる問題集
https://gihyo.jp/dp/ebook/2022/978-4-297-12376-5,情報処理技術者試験 令和04-05年 基本情報技術者 試験によくでる問題集【午前】
https://gihyo.jp/dp/ebook/2022/978-4-297-12666-7,ゼロからはじめる ゼロからはじめるドコモ AQUOS sense6 SH-54B スマートガイド
https://gihyo.jp/dp/ebook/2022/978-4-297-12577-6,Pythonエンジニア育成推進協会監修 Python実践レシピ
https://gihyo.jp/dp/ebook/2022/978-4-297-12458-8,脅威インテリジェンスの教科書
https://gihyo.jp/dp/ebook/2022/978-4-297-12489-2,今すぐ使えるかんたん 今すぐ使えるかんたんJw_cad 完全ガイドブック 困った解決＆便利技
https://gihyo.jp/dp/ebook/2022/978-4-297-12487-8,今すぐ使えるかんたん 今すぐ使えるかんたんJw_cad［改訂2版］
https://gihyo.jp/dp/ebook/2022/978-4-297-12558-5,WordPressオリジナルテーマ制作入門
https://gihyo.jp/dp/ebook/2022/978-4-297-12646-9,ゼロからはじめる ゼロからはじめるiPad mini スマートガイド［iPadOS 15対応版］
https://gihyo.jp/dp/ebook/2022/978-4-297-12542-4,知りたい！サイエンス 知られざる水の化学 水の惑星地球の誕生から飲み水まで
https://gihyo.jp/dp/ebook/2021/978-4-297-12546-2,基礎からしっかり学ぶ Linux入門
https://gihyo.jp/dp/ebook/2021/978-4-297-12491-5,Bootstrap 5 フロントエンド開発の教科書
https://gihyo.jp/dp/ebook/2021/978-4-297-12554-7,まなびのずかん アルゴリズムがわかる図鑑
https://gihyo.jp/dp/ebook/2021/978-4-297-12511-0,HTML＆CSSとWebデザインが1冊できちんと身につく本［増補改訂版］
https://gihyo.jp/dp/ebook/2021/978-4-297-12520-2,Software Design plus エキスパートたちのGo言語 一流のコードから応用力を学ぶ
https://gihyo.jp/dp/ebook/2021/978-4-297-12540-0,WEB+DB PRESS Vol.126
https://gihyo.jp/dp/ebook/2021/978-4-297-12534-9,どこでも成果を出す技術～テレワーク＆オフィスワークでなめらかに仕事をするための8つのスキル
https://gihyo.jp/dp/ebook/2021/978-4-297-12581-3,ゼロからはじめる ゼロからはじめるGalaxy Z Flip3 5G スマートガイド［ドコモ／au対応版］
https://gihyo.jp/dp/ebook/2021/978-4-297-12561-5,Tech × Books plus ディープラーニングを支える技術——「正解」を導くメカニズム［技術基礎］
https://gihyo.jp/dp/ebook/2021/978-4-297-12470-0,情報処理技術者試験 令和04-05年 応用情報技術者 試験によくでる問題集【午前】
https://gihyo.jp/dp/ebook/2021/978-4-297-12522-6,問題解決のための「アルゴリズム×数学」が基礎からしっかり身につく本
